"N","Scenario","Median GO (%)","Median EVALUATE (%)","Median NO-GO (%)","n_scenarios"
10,"Favorable",4.2,77.2,17.9,12
15,"Favorable",14.6,69.4,15.1,12
20,"Favorable",13.7,73,12.2,12
25,"Favorable",16.2,67.7,10.6,12
30,"Favorable",13.6,73.2,8.5,12
10,"Unfavorable",0.3,51.8,47.9,36
15,"Unfavorable",0.9,40.4,58.5,36
20,"Unfavorable",0.7,41.5,57.2,36
25,"Unfavorable",0.6,37.4,61.7,36
30,"Unfavorable",0.3,39.2,60.4,36
